meeting_id,meeting_date,meeting_title,motion,result,yes_count,no_count
1244,2025-12-02,12/2/25 Council Meeting,"to appoint Ryan Jones of the Jones Mayor Law Firm as the City Attorney for the City of Chico, effective December 3, 2025, and to provide the city manager with the authority to enter into an agreement with Jones Mayor that will be brought back to the Council in January",passed,5,0
1244,2025-12-02,12/2/25 Council Meeting,"Approve the consent agenda as read, which includes an ordinance of the City of Chico adding Chapter 10.36 to Title 10 of the Chico Municipal Code prohibiting pedestrians on medians and other roadway areas. Final reading and adoption.",Passed with some no votes,0,3
1244,2025-12-02,12/2/25 Council Meeting,Not specified in the provided segment,Passed,7,0
1244,2025-12-02,12/2/25 Council Meeting,Agendize a discussion on e-bike regulations for the city as a whole.,passed,7,0
1243,2025-11-18,11/18/25 Council Meeting,"Approve the rest of the consent agenda, except for item 2.5, including the ordinance adding Chapter 5.44 to the City of Chico Municipal Code to regulate massage therapy establishments.",passed,6,0
1243,2025-11-18,11/18/25 Council Meeting,"Direct staff to make the coming Friday, Pink Friday, a free parking day to the best extent possible.",passed,6,0
1243,2025-11-18,11/18/25 Council Meeting,Approve the staff recommendation regarding the storm water runoff calculations on the amended payment design standards.,Passed,0,0
1243,2025-11-18,11/18/25 Council Meeting,Change the proposed traffic impact analysis threshold to 100 peak hour trips.,Passed,0,0
1243,2025-11-18,11/18/25 Council Meeting,Direct staff to review the street light foundation standard calculation provided by the CBA to determine if they will be sufficient to meet public safety standards and present that analysis in the report when the ordinance comes back before council.,Passed,0,0
1243,2025-11-18,11/18/25 Council Meeting,"To direct staff to meet with stakeholders to gather input, research studies with successful parklet programs, review parklet designs created with American Rescue Plan Act funds, and present council with multiple design options focusing solely on temporary parklet designs in anticipation of downtown access plan construction. The designs should be functional, safe, aesthetically pleasing, and economically feasible.",passed,3,0
1243,2025-11-18,11/18/25 Council Meeting,to approve all of the listed internal affairs committee recommended 18 amendments,passed,0,0
